"acc"	"lineage"	"cross_references"	"collection_date"	"country"	"center_name"	"host"	"TAXON"	"coverage"	"phylogeny"	"who"
""	"B.1.1"	""	"20200406"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.285"	""	"20200406"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.285"	""	"20200406"	"Japan"	""	"Homo sapiens"	"2697049"	"99.9127"	""	""
""	"B.1.1.285"	""	"20200406"	"Japan"	""	"Homo sapiens"	"2697049"	"99.264656"	""	""
""	"B.1.1.285"	""	"20200406"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.285"	""	"20200406"	"Japan"	""	"Homo sapiens"	"2697049"	"99.90934"	""	""
""	"B.1.1.285"	""	"20200406"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.285"	""	"20200406"	"Japan"	""	"Homo sapiens"	"2697049"	"99.250984"	""	""
""	"B.1.1.285"	""	"20200408"	"Japan"	""	"Homo sapiens"	"2697049"	"99.26801"	""	""
""	"B.1.1"	""	"20200409"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.285"	""	"20200410"	"Japan"	""	"Homo sapiens"	"2697049"	"99.90544"	""	""
""	"B.1.1.285"	""	"20200410"	"Japan"	""	"Homo sapiens"	"2697049"	"99.26801"	""	""
""	"B.12"	""	"20200411"	"Senegal"	""	"Homo sapiens"	"2697049"	"99.936195"	""	""
""	"B.12"	""	"20200413"	"Senegal"	""	"Homo sapiens"	"2697049"	"96.924"	""	""
""	"B.1.1.285"	""	"20200413"	"Senegal"	""	"Homo sapiens"	"2697049"	"98.81136"	""	""
""	"B.12"	""	"20200414"	"Senegal"	""	"Homo sapiens"	"2697049"	"95.60093"	""	""
""	"B.1.1"	""	"20200414"	"Senegal"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1"	""	"20200416"	"Senegal"	""	"Homo sapiens"	"2697049"	"99.98321"	""	""
""	"B.1.1"	""	"20200416"	"Senegal"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1"	""	"20200420"	"Senegal"	""	"Homo sapiens"	"2697049"	"98.344635"	""	""
""	"B.1.1.285"	""	"20200422"	"Senegal"	""	"Homo sapiens"	"2697049"	"99.26801"	""	""
""	"B.1.1"	""	"20200325"	"Senegal"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1"	""	"20200424"	"Senegal"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.12"	""	"20200327"	"Senegal"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1"	""	"20200501"	"Senegal"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1"	""	"20200501"	"Senegal"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1"	""	"20200401"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.285"	""	"20200503"	"Japan"	""	"Homo sapiens"	"2697049"	"99.986565"	""	""
""	"B.1.1"	""	"20200507"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1"	""	"20200507"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.285"	""	"20200403"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1"	""	"20200511"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1"	""	"20200514"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.12"	""	"20200415"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200530"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200610"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200611"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.284"	""	"20200613"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200613"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200620"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200622"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200629"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99329"	""	""
""	"B.1.1.284"	""	"20200630"	"Japan"	""	"Homo sapiens"	"2697049"	"99.98994"	""	""
""	"B.1.1.284"	""	"20200630"	"Japan"	""	"Homo sapiens"	"2697049"	"99.93289"	""	""
""	"B.1.1.284"	""	"20200701"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200706"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200706"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200706"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.284"	""	"20200707"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200708"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200711"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200713"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200715"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.284"	""	"20200716"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.284"	""	"20200720"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200720"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200721"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200721"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200722"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20200724"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200724"	"Japan"	""	"Homo sapiens"	"2697049"	"99.93962"	""	""
""	"B.1.1.214"	""	"20200725"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200727"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.284"	""	"20200727"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200727"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200727"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200728"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.284"	""	"20200729"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200730"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200731"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99329"	""	""
""	"B.1.1.284"	""	"20200801"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20200801"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200803"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.284"	""	"20200803"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20200803"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200803"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.284"	""	"20200804"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20200804"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200804"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20200805"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200809"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
